,answer_id,answer_text,question
0,0,психическая подготовка," система психолого-педагогических воздействий, применяемых с целью формирования и совершенствования у спортсменов свойств личности и психических качеств, необходимых для успешного выполнения тренировочной деятельности, подготовки к соревнованиям и надежного выступления в них – это:"
1,1,микроэлементы и минеральные вещества," вещества, участвующие в построении тканей, регулирующие кислотно-щелочное состояние организма, входящие в состав ферментных систем, гормонов и витаминов и влияющие на их функцию, нормализующие водно-солевой обмен:"
2,1,"нарушение точности движений вследствие усиления проприоцептивной импульсации, увеличение времени реакции"," по вашему мнению, в состоянии организма и двигательной деятельности в процессе труда под влиянием статического напряжения мышц происходят следующие негативные изменения:"
3,3,магнитной активности земли," под воздействием какого фактора ухудшается самочувствие людей, страдающих заболеваниями сердечно-сосудистой системы:"
4,1,баскетбол, в каком виде спорта тактическая подготовка играет решающую роль:
5,2,тактическая подготовка," процесс, направленный на овладение рациональными формами ведения спортивной борьбы в процессе специфической соревновательной деятельности:"
6,2,"соревновательные, специальные и общеразвивающие упражнения", основными специфическими средствами спортивной подготовки являются:
7,0,"умственное и физическое утомление, гиподинамия, гипокинезия, нахождение на высоте в условиях ограниченной опоры, статическое напряжение мышц, отрицательные эмоциональные нагрузки, высокая температура"," по вашему мнению, отрицательно действующими факторами, влияющими на изменения в состоянии организма и двигательной деятельности в процессе труда являются:"
8,0,спортивная форма," высшая степень подготовленности спортсмена, характеризующаяся его способностью к одновременной реализации в соревновательной деятельности различных сторон подготовки спортсмена:"
9,3,единая всероссийская спортивная классификация," нормативный документ, определяющий требования, условия и порядок присвоения спортивных званий и разрядов в российской федерации – это:"
10,3,прикладные физические упражнения," упражнения, посредством которых вырабатывают двигательные умения и навыки, находящие применение в условиях профессиональной деятельности или в экстремальных ситуациях:"
11,3,от уровня подготовленности," по вашему мнению, от чего зависит продолжительность занятий в той или иной зоне интенсивности нагрузок:"
12,0,"использование средств физической культуры в целях отдыха, восстановления организма и профилактики переутомления и перенапряжения", оздоровительно-рекреативная направленность самостоятельных занятий физическими упражнениями предполагает:
13,1,"упражнения статического характера, упражнения с отягощениями, упражнения на выносливость"," по вашему мнению, что рекомендуется сделать после выполнения комплекса утренней гигиенической гимнастики:"
