,answer_id,answer_text,question
0,1,на предрасположенность к некоторым заболеваниям, на какой фактор здоровья влияет наследственность:
1,2,прикладные психические качества и свойства личности," сознательное преодоление трудностей в процессе регулярных занятий физической культурой и спортом, борьба с нарастающим утомлением, ощущениями боли и страха, привычка соблюдать установленные нормы и правила поведения воспитывают:"
2,1,экономическая функция," функция спорта, которая выражается в том, что средства, вложенные в развитие спорта сторицей окупаются прежде всего в повышении уровня здоровья населения, повышении общей работоспособности, продлении жизни человека,  – это:"
3,1,"резкое побледнение кожи, озноб, дрожь", сигналами неблагоприятного воздействия на организм водно-закаливающих процедур являются:
4,2,минздрав," как вы считаете, какая организация обладает наибольшими социально-экономическими возможностями для борьбы с заболеваемостью граждан:"
5,0,общая физическая подготовка," по вашему мнению, совершенствованию двигательных способностей с целью всестороннего и гармоничного физического развития человека наиболее способствуют:"
6,0,разрушает клетки и вызывает заболевания различных органов, какое влияние оказывает употребление алкоголя на организм:
7,3,тактическая подготовка," процесс, направленный на овладение рациональными формами ведения спортивной борьбы в процессе специфической соревновательной деятельности:"
8,0,профессиональный спорт," предпринимательская деятельность, целью которой является удовлетворение интересов профессиональных спортивных организаций, спортсменов, избравших спорт своей профессией, и зрителей – это:"
9,0,частота сердечных сокращений, показателем интенсивности физических нагрузок является:
10,2,"ухудшение координации и точности движений, несоразмерность усилий, понижение способности сохранять равновесие"," по вашему мнению, в состоянии организма и двигательной деятельности в процессе труда под влиянием отрицательной эмоциональной нагрузки происходят следующие негативные изменения:"
11,1,"прикладные знания, умения и навыки"," понятия, которые связаны с будущей профессиональной деятельностью, обеспечивают безопасность в быту и при выполнении профессиональных видов работ, формируются в процессе активных занятий физической культурой и спортом:"
12,0,мозг," орган человека, содержащий больше всего воды"
13,3,система подготовки спортсмена," совокупность методических основ организационных форм и условий тренировочно-соревновательного процесса, оптимально взаимодействующих между собой на основе определенных принципов и обеспечивающих наилучшую степень готовности спортсмена к высоким спортивным достижениям – это:"
14,0,75 – 95 %," диапазон частоты сердечных сокращений от максимальной чсс у здоровых людей, занимающихся спортом:"
15,2,эмоционально-зрелищная функция," функция спорта, которая раскрывается в том, что спорт несет в себе эстетические свойства, проявляющиеся в гармонии физических и духовных качеств человека, граничит с искусством,  – это:"
16,1,специально-подготовительные упражнения," упражнения, имеющие сходство с соревновательными упражнениями по структуре движения, ритмическим, временным и другим характеристикам – это:"
17,1,"значительное нервно-психическое напряжение в связи с непрерывным контролем за положением собственного тела в пространстве, увеличение суммарной амплитуды тремора и чсс, ухудшение функционирования двигательного анализатора, проявление отрицательных эмоций"," по вашему мнению, в состоянии организма и двигательной деятельности в процессе труда под влиянием нахождения на высоте в условиях ограниченной опоры происходят следующие негативные изменения:"
18,0,силы и силовой выносливости, занятия атлетической гимнастикой направлены на развитие:
19,2,учение об адаптации организма человека и теория переноса тренированности," по вашему мнению, научным обоснованием специфического содержания и методов профессионально-прикладной физической подготовки является: "
20,3,"вес отягощения уменьшается, число повторений увеличивается", при занятиях атлетической гимнастикой для развития силовой выносливости:
21,2,витамины," биологически активные вещества, регулирующие обмен веществ и разносторонне влияющие на жизнедеятельность организма – это:"
22,1,прикладные физические упражнения," упражнения, посредством которых вырабатывают двигательные умения и навыки, находящие применение в условиях профессиональной деятельности или в экстремальных ситуациях:"
23,2,важное средство профилактики негативных последствий охлаждения организма или действия высоких температур, закаливание организма  это
24,1,"рациональный устойчивый режим, уход за телом, гигиену одежды и обуви", личная гигиена включает в себя:
25,3,спортивное движение," социальное течение, спортивная практика в сфере массового спорта и спорта высших достижений – это:"
26,0,физический и умственный," по вашему мнению, какие различают формы труда:"
27,1,"утренняя гигиеническая гимнастика, упражнения в течение учебного (рабочего) дня, самостоятельные занятия в свободное время", основные формы самостоятельных занятий физическими упражнениями:
28,3,техническая подготовка," степень освоения спортсменам системы движений, соответствующей особенностям вида спорта, и направленных на достижение высоких спортивных результатов – это:"
29,0,"2,5 – 3 л", суточная потребность человека в воде:
30,3,организационная подготовка, в спортивную подготовку спортсмена не входит:
31,2,профессионально-прикладная физическая подготовка, специально направленное и избирательное использование средств физической культуры и спорта для подготовки человека к определенной профессиональной деятельности – это:
32,3,"значительно учащенное, периодически через рот", что характерно для дыхания при значительной степени утомления:
33,3,пиковая чсс," наибольшая интенсивность, которая не должна быть превышена в результате тренировки:"
34,2,уровень развития и функциональных возможностей органов и систем организма, физический компонент здоровья – это:
35,1,четыре раза в неделю и более," по вашему мнению, для достижения высоких спортивных результатов достаточно заниматься физическими упражнениями:"
36,1,"тренировка в термо - и барокамерах, искусственное ультрафиолетовое облучение и аэроионизацию, специализированное питание", дополнительные средства профессионально-прикладной физической подготовки:
37,3,комплекс характеристик мотивационной и потребностно-информационной основы жизнедеятельности человека, нравственный компонент здоровья – это:
38,2,2 – 3 часа," по вашему мнению, какой интервал времени после приема пищи следует выдержать перед занятием физическими упражнениями:"
39,1,"воспитание волевых способностей, выдержки и самообладания, самостоятельности и инициативности, целеустремленности, решительности и смелости", основным содержанием психической подготовки является:
40,3,единая всероссийская спортивная классификация," нормативный документ, определяющий требования, условия и порядок присвоения спортивных званий и разрядов в российской федерации – это:"
41,1,"особенности информационного обеспечения деятельности, характер основных рабочих движений и особые внешние условия деятельности"," факторы профессиональной деятельности и ее условий, преимущественно обусловливающие требования к физической и другим сторонам прикладной подготовленности человека:"
42,2,"воспитательная, соревновательно-эталонная, эвристически-достиженческая, оздоровительно-рекреативная, эмоционально-зрелищная, коммуникативная, экономическая", функции спорта:
43,1,"нарушение точности дозирования мышечных усилий, воспроизведения интервалов времени реагирования на движущийся объект, снижение физической работоспособности"," по вашему мнению, в состоянии организма и двигательной деятельности в процессе труда под влиянием физического утомления происходят следующие негативные изменения:"
44,0,использование средств физической культуры для восстановления работоспособности и укрепления здоровья в рамках повседневного быта и трудовой деятельности, гигиеническая направленность самостоятельных занятий физическими упражнениями предполагает:
45,0,"интенсивность упражнения, объем работы, продолжительность и характер интервалов отдыха", при выполнении большинства физических упражнений суммарная их нагрузка на организм достаточно полно характеризуется следующими компонентами:
46,2,подводящих упражнений, разучивание сложного двигательного действия следует начинать с освоения:
47,2,циклические виды спорта," по вашему мнению, повышению функциональных возможностей организма наиболее способствуют:"
48,3,"подводящие, развивающие и имитационные", в зависимости от направленности тренировочных занятий специально-подготовительные упражнения подразделяются на:
49,0,"массовый, высших достижений, профессиональный", современный спорт подразделяется на:
50,3,"образ жизни, наследственность, внешняя среда, здравоохранение"," факторы, определяющие здоровье:"
51,4,источника энергии, роль углеводов в организме человека
52,3,"соматический, физический, психический, сексуальный и нравственный", компоненты здоровья:
53,3,усиление деятельности всех систем организма для обеспечения вывода на необходимый уровень работоспособности," по вашему мнению, основной задачей подготовительной части тренировочного занятия является:"
54,3,"физические упражнения, оздоровительные силы природы, гигиенические факторы", средствами офп являются:
55,1,воля," по вашему мнению, что не является физическим качеством: "
56,4,"устойчивый режим, уход за телом, гигиену одежды и обуви", личная гигиена включает в себя
57,3,дневник самоконтроля," своеобразная форма самоотчета о проделанном, позволяющая анализировать и своевременно корректировать реализацию программы здорового  образа жизни – это:"
58,1,закаливание, средство профилактики негативных последствий охлаждения организма или действия высоких температур – это:
59,2,"академические учебные занятия, занятия в период учебной практики, спортивно-прикладные соревнования, самостоятельные тренировочные занятия по заданию преподавателя", формы занятий по профессионально-прикладной физической подготовке:
60,0,1 – 2 мин, при занятиях атлетической гимнастикой интервал отдыха между упражнениями обычно составляет:
61,2,"разумное чередование труда и отдыха, рациональное питание, преодоление вредных привычек, оптимальная двигательная активность, соблюдение правил личной гигиены, закаливание, психогигиена", основными составляющими элементами зож являются:
62,1,принцип органической связи физического воспитания с практикой трудовой деятельности, какой принцип педагогической системы воплощается в профессионально-прикладной физической подготовке:
63,3,"ухудшение внимания, увеличение времени двигательной реакции, снижение умственной и физической работоспособности"," по вашему мнению, в состоянии организма и двигательной деятельности в процессе труда под влиянием умственного утомления происходят следующие негативные изменения:"
64,3,170 – 200 уд/мин, анаэробная зона интенсивности тренировочной нагрузки определяется уровнем чсс в пределах:
65,0,пороговая и пиковая чсс, при определении интенсивности тренировочных нагрузок по частоте сердечных сокращений используются два показателя:
67,2,упражнение на укрепление связочного аппарата и разминка основных мышечных групп, средства профессионально-прикладной физической подготовки для работников умственного труда:
68,2,"пола, возраста, состояния здоровья, уровня физической и спортивной подготовленности занимающегося", направленность и организационные формы использования самостоятельных занятий физическими упражнениями зависят от:
69,3,"постепенно, с максимумом в середине или во второй половине комплекса"," по вашему мнению, каким образом следует повышать физическую нагрузку при составлении комплекса утренней гигиенической гимнастики и его выполнении:"
70,0,"виды спорта, оказывающие акцентированное воздействие на развитие двигательных способностей, имеющих значение для улучшения профессиональной деятельности", профессионально-прикладные виды спорта – это:
71,1,"обучение технике двигательных действий, воспитание физических и личностных качеств, развитие функциональных систем организма"," по вашему мнению, основной задачей основной части тренировочного занятия является:"
72,0,характер труда," особенности двигательных рабочих операций, при характеристике которых имеют в виду главным образом тип движений, амплитуду движений, силовые характеристики движения, особенности координации движений – это:"
73,2,"менее прочное строение костей, меньшее общее развитие мускулатуры, более широкий тазовый пояс и более мощная мускулатура тазового дна, чем у мужчин"," анатомо-физиологические особенности женского организма, которые необходимо учитывать при проведении самостоятельных занятий физическими упражнениями:"
74,1,от уровня подготовленности," по вашему мнению, от чего зависит продолжительность занятий в той или иной зоне интенсивности нагрузок:"
75,2,150 – 170 уд/мин, смешанная зона интенсивности тренировочной нагрузки определяется уровнем чсс в пределах:
76,3,вода, наиболее важная составляющая часть пищевого рациона:
77,3,три раза в неделю," по вашему мнению, для повышения уровня физической подготовленности достаточно заниматься физическими упражнениями:"
78,1,проводит мероприятия по предупреждению заболеваний и лечению населения, чем занимается система здравоохранения:
79,0,"наука, занимающаяся укреплением душевного здоровья, его сохранением или восстановлением в случае, если оно  не было серьезно подорвано", психогигиена – это 
80,3,"комплекс соматических, эмоциональных, интеллектуальных и социальных аспектов сексуального существования человека, позитивно обогащающих личность, повышающих коммуникабельность человека и его способность к любви", сексуальный компонент здоровья – это:
81,3,циклические виды спорта," для повышения функциональных возможностей организма, совершенствования деятельности кардиореспираторной системы наиболее эффективными являются:"
82,0,в увеличении количества принимаемого наркотического вещества, какая потребность характерна для наркоманов:
83,3,"упражнения для всех групп мышц, упражнения на гибкость, дыхательные упражнения"," по вашему мнению, какие упражнения следует включать в комплекс утренней гигиенической гимнастики:"
84,4,прикладные физические качества," понятия, которые необходимы во многих видах профессиональной деятельности, позволяют успешно решать профессиональные задачи, связанные с преимущественным проявлением физических способностей в процессе самой трудовой деятельности:"
85,3,"поражение цнс, кардио-респираторной и пищеварительной систем", какие последствия влечет за собой курение табака:
86,3,углеводы," пищевые вещества, которые входят в состав почти всех клеток и тканей организма, выполняя строительную функцию, принимают участие в белковом обмене, способствуя синтезу аминокислот, и жировом обмене:"
87,2,пороговая чсс," наименьшая интенсивность, ниже которой тренировочного эффекта не возникает:"
88,3,атлетической гимнастикой, формирование гармоничного телосложения является конечной целью занятий:
89,3,"положительное, что выражается через повышение бодрости, хороший аппетит, крепкий и спокойный сон", какое влияние оказывает закаливание солнцем на организм:
90,3,"дозировка воздушных ванн осуществляется или постепенным снижением температуры воздуха, или увеличением длительности процедуры при одной и той же температуре", каким образом осуществляется дозировка воздушных ванн:
91,0,аллергической реакцией, как реагирует организм человека на изменение химического состава окружающей среды:
92,3,"предупреждение наступающего утомления, поддержание работоспособности", решению каких задач способствуют упражнения в течение учебного (рабочего) дня:
93,1,оздоровительно-рекреативная функция," функция спорта, которая проявляется в положительном влиянии спорта на состояние и функциональные возможности организма человека,  – это:"
94,0,"гимнастика, при которой последовательно конструируются необходимые формы движений и осуществляются избирательно-направленные влияния на определенные звенья опорно-двигательного аппарата", профессионально-прикладная гимнастика – это:
95,3,"использование физических упражнений в общей системе лечебных мер по восстановлению здоровья или определенных функций организма, сниженных или утраченных в результате заболеваний или травмы", лечебная направленность самостоятельных занятий физическими упражнениями предполагает: 
96,2,соревновательные упражнения," целостные двигательные действия, которые являются средством соревновательной борьбы в избранном виде спорта и выполняются в соответствии с правилами соревнований по этому виду спорта:"
97,2,цели занятий, выбор количества самостоятельных занятий в неделю зависит от:
98,2,физическое самовоспитание," процесс целенаправленной, сознательной, планомерной работы над собой, ориентированный на формирование физической культуры личности – это:"
99,0,развитие ведущих для данной профессии способностей,задачи профессионально-прикладной физической подготовки
0,0,психическая подготовка," система психолого-педагогических воздействий, применяемых с целью формирования и совершенствования у спортсменов свойств личности и психических качеств, необходимых для успешного выполнения тренировочной деятельности, подготовки к соревнованиям и надежного выступления в них – это:"
